iter	Passed	Remaining
413	3588	5078
414	3593	5065
415	3598	5051
416	3606	5041
417	3611	5028
418	3616	5014
419	3749	5178
420	3754	5164
421	3760	5150
422	3768	5140
423	3773	5126
424	3781	5116
425	3787	5103
426	3795	5092
427	3799	5078
428	3805	5064
429	3813	5054
430	3817	5040
431	3825	5029
432	3854	5047
433	3859	5033
434	3864	5019
435	3874	5011
436	3880	4999
437	3889	4991
438	3895	4977
439	3902	4967
440	3907	4953
441	3912	4939
442	3921	4930
443	3926	4917
444	3954	4931
445	3961	4920
446	3969	4910
447	3974	4897
448	3982	4886
449	3987	4873
450	3992	4859
451	3997	4846
452	4002	4833
453	4011	4823
454	4016	4810
455	4024	4800
456	4124	4900
457	4129	4887
458	4135	4873
459	4143	4863
460	4148	4850
461	4156	4840
462	4161	4826
463	4169	4816
464	4174	4803
465	4180	4790
466	4187	4779
467	4191	4765
468	4212	4769
469	4221	4759
470	4226	4747
471	4238	4741
472	4243	4728
473	4251	4718
474	4257	4705
475	4265	4695
476	4270	4682
477	4276	4669
478	4281	4656
479	4286	4643
480	4429	4779
481	4434	4765
482	4442	4755
483	4448	4742
484	4456	4731
485	4461	4718
486	4465	4704
487	4473	4693
488	4478	4680
489	4486	4670
490	4491	4656
491	4496	4643
492	4557	4686
493	4562	4673
494	4570	4663
495	4575	4649
496	4583	4639
497	4588	4625
498	4593	4612
499	4598	4598
500	4603	4585
501	4611	4575
502	4616	4561
503	4621	4548
504	4629	4537
505	4730	4617
506	4735	4604
507	4743	4593
508	4748	4580
509	4757	4570
510	4762	4557
511	4767	4544
512	4773	4531
513	4778	4517
514	4786	4507
515	4791	4494
516	4799	4483
517	4882	4542
518	4886	4529
519	4891	4515
520	4899	4504
521	4904	4491
522	4912	4480
523	4917	4467
524	4922	4454
525	4930	4443
526	4934	4428
527	4935	4412
528	4940	4398
529	4945	4385
530	5144	4543
531	5149	4530
532	5157	4518
533	5162	4504
534	5166	4490
535	5171	4477
536	5177	4463
537	5188	4455
538	5193	4442
539	5202	4431
540	5207	4418
541	5219	4410
542	5392	4538
543	5398	4525
544	5403	4511
545	5408	4496
546	5415	4484
547	5420	4470
548	5428	4459
549	5433	4445
550	5437	4431
551	5445	4419
552	5450	4405
553	5454	4391
554	5459	4377
555	5464	4363
556	5469	4349
557	5475	4336
558	5480	4323
559	5485	4309
560	5493	4298
561	5499	4285
562	5507	4274
563	5512	4261
564	5517	4247
565	5523	4234
566	5528	4221
567	5585	4248
568	5591	4235
569	5599	4224
570	5604	4211
571	5610	4197
572	5618	4186
573	5623	4173
574	5632	4162
575	5637	4149
576	5646	4139
577	5651	4126
578	5656	4112
579	5721	4143
580	5729	4132
581	5735	4119
582	5743	4108
583	5748	4094
584	5753	4081
585	5758	4068
586	5763	4055
587	5770	4043
588	5775	4029
589	5779	4016
590	5787	4005
591	5889	4058
592	5894	4045
593	5902	4034
594	5907	4021
595	5912	4007
596	5920	3996
597	5926	3984
598	5934	3973
599	5939	3959
600	5944	3946
601	5950	3934
602	5955	3921
603	5963	3909
604	6116	3993
605	6121	3979
606	6132	3970
607	6136	3956
608	6146	3946
609	6151	3932
610	6155	3918
611	6162	3907
612	6167	3893
613	6175	3882
614	6179	3868
615	6184	3855
616	6348	3940
617	6350	3925
618	6351	3909
619	6356	3895
620	6357	3880
621	6359	3864
622	6360	3849
623	6366	3836
624	6391	3834
625	6396	3821
626	6404	3809
627	6409	3796
628	6414	3783
629	6422	3772
630	6428	3759
631	6476	3771
632	6484	3759
633	6489	3746
634	6494	3732
635	6501	3721
636	6506	3707
637	6510	3694
638	6518	3682
639	6523	3669
640	6528	3656
641	6533	3643
642	6536	3629
643	6540	3615
644	6555	3607
645	6563	3596
646	6568	3583
647	6573	3570
648	6578	3558
649	6583	3545
650	6596	3536
651	6605	3525
652	6610	3512
653	6616	3500
654	6622	3487
655	6627	3475
656	6723	3509
657	6728	3497
658	6736	3485
659	6741	3472
660	6746	3459
661	6754	3448
662	6759	3435
663	6767	3424
664	6772	3411
665	6781	3400
666	6786	3388
667	6791	3375
668	6817	3373
669	6822	3360
670	6831	3349
671	6835	3336
672	6845	3325
673	6849	3313
674	6854	3300
675	6863	3289
676	6868	3276
677	6877	3266
678	6882	3253
679	6890	3242
680	6895	3230
681	6966	3248
682	6974	3237
683	6979	3224
684	6987	3213
685	6992	3200
686	6997	3188
687	7004	3176
688	7009	3164
689	7014	3151
690	7019	3139
691	7025	3126
692	7034	3116
693	7192	3171
694	7198	3158
695	7203	3146
696	7211	3135
697	7216	3122
698	7226	3111
699	7231	3099
700	7236	3086
701	7245	3075
702	7250	3063
703	7258	3051
704	7263	3039
705	7317	3047
706	7326	3036
707	7331	3023
708	7339	3012
709	7344	2999
710	7352	2988
711	7358	2976
712	7363	2964
713	7372	2953
714	7377	2940
715	7383	2928
716	7388	2916
717	7400	2906
718	7405	2894
719	7415	2883
720	7419	2871
721	7424	2858
722	7433	2847
723	7438	2835
724	7446	2824
725	7451	2812
726	7456	2799
727	7464	2789
728	7469	2776
729	7496	2772
730	7502	2760
731	7511	2749
732	7520	2739
733	7525	2727
734	7530	2715
735	7538	2704
736	7548	2693
737	7552	2681
738	7558	2669
739	7564	2657
740	7569	2645
741	7574	2633
742	7583	2623
743	7588	2611
744	7596	2600
745	7602	2588
746	7606	2576
747	7614	2565
748	7619	2553
749	7628	2542
750	7633	2530
751	7639	2519
752	7645	2507
753	7650	2495
754	7658	2485
755	7659	2472
756	7666	2461
757	7675	2450
758	7680	2438
759	7689	2428
760	7694	2416
761	7699	2404
762	7707	2394
763	7712	2382
764	7721	2371
765	7726	2360
766	7731	2348
767	7772	2348
768	7777	2336
769	7786	2325
770	7791	2314
771	7799	2303
772	7804	2291
773	7809	2280
774	7818	2270
775	7824	2258
776	7830	2247
777	7835	2235
778	7840	2224
779	7913	2232
780	7915	2219
781	7916	2206
782	7918	2194
783	7921	2182
784	7922	2169
785	7925	2157
786	7930	2146
787	7938	2135
788	7943	2124
789	7948	2112
790	7956	2102
791	7961	2090
792	7970	2080
793	7986	2071
794	7991	2060
795	8002	2050
796	8007	2039
797	8014	2028
798	8020	2017
799	8025	2006
800	8034	1996
801	8039	1984
802	8047	1974
803	8052	1963
804	8057	1951
805	8087	1946
806	8096	1936
807	8101	1925
808	8106	1913
809	8113	1903
810	8118	1891
811	8126	1881
812	8131	1870
813	8136	1859
814	8145	1848
815	8150	1837
816	8158	1827
817	8218	1828
818	8225	1817
819	8230	1806
820	8235	1795
821	8239	1784
822	8243	1772
823	8251	1762
824	8256	1751
825	8260	1740
826	8268	1729
827	8272	1718
828	8277	1707
829	8285	1696
830	8292	1686
831	8299	1675
832	8305	1665
833	8313	1654
834	8318	1643
835	8323	1632
836	8332	1622
837	8337	1611
838	8345	1601
839	8350	1590
840	8359	1580
841	8363	1569
842	8382	1561
843	8389	1550
844	8394	1539
845	8400	1529
846	8408	1518
847	8413	1508
848	8422	1497
849	8427	1487
850	8432	1476
851	8441	1466
852	8446	1455
853	8454	1445
854	8460	1434
855	8464	1423
856	8472	1413
857	8477	1402
858	8484	1392
859	8488	1381
860	8493	1371
861	8500	1360
862	8505	1350
863	8510	1339
864	8517	1329
865	8522	1318
866	8530	1308
867	8555	1301
868	8563	1290
869	8568	1280
870	8571	1269
871	8573	1258
872	8579	1248
873	8584	1237
874	8592	1227
875	8614	1219
876	8623	1209
877	8627	1198
878	8632	1188
879	8639	1178
880	8663	1170
881	8672	1160
882	8677	1149
883	8685	1139
884	8690	1129
885	8696	1118
886	8704	1108
887	8709	1098
888	8718	1088
889	8723	1078
890	8728	1067
891	8733	1057
892	8784	1052
893	8789	1042
894	8796	1032
895	8801	1021
896	8815	1012
897	8820	1001
898	8825	991
899	8830	981
900	8834	970
901	8839	960
902	8852	950
903	8857	940
904	8863	930
905	8889	922
906	8894	912
907	8903	902
908	8908	891
909	8914	881
910	8919	871
911	8925	861
912	8933	851
913	8938	841
914	8949	831
915	8954	821
916	8962	811
917	8991	803
918	8999	793
919	9004	783
920	9010	772
921	9015	762
922	9020	752
923	9027	742
924	9030	732
925	9032	721
926	9034	711
927	9035	701
928	9037	690
929	9039	680
930	9041	670
931	9064	661
932	9072	651
933	9077	641
934	9082	631
935	9088	621
936	9092	611
937	9099	601
938	9104	591
939	9109	581
940	9118	571
941	9124	561
942	9133	552
943	9146	542
944	9152	532
945	9157	522
946	9162	512
947	9167	502
948	9176	493
949	9181	483
950	9187	473
951	9193	463
952	9198	453
953	9206	443
954	9212	434
955	9253	425
956	9258	416
957	9263	406
958	9268	396
959	9274	386
960	9280	376
961	9286	366
962	9290	356
963	9297	347
964	9302	337
965	9307	327
966	9311	317
967	9318	308
968	9330	298
969	9335	288
970	9340	278
971	9346	269
972	9355	259
973	9359	249
974	9366	240
975	9372	230
976	9377	220
977	9385	211
978	9390	201
979	9399	191
980	9415	182
981	9420	172
982	9429	163
983	9434	153
984	9449	143
985	9454	134
986	9460	124
987	9466	114
988	9471	105
989	9476	95
990	9481	86
991	9490	76
992	9511	67
993	9515	57
994	9523	47
995	9527	38
996	9535	28
997	9540	19
998	9544	9
999	9550	0
